Sun Aug 30 10:05:22 PM MDT 2026

COMMAND: cat /proc/partitions
DESCRIPTION: Known block-device partitions

major minor  #blocks  name

   7        0          4 loop0
   7        1      68452 loop1
   7        2     280268 loop2
   7        3     620624 loop3
   7        4        580 loop4
   7        5     404460 loop5
   7        6      93888 loop6
   7        7      16064 loop7
 259        0 1954210120 nvme0n1
 259        1    1100800 nvme0n1p1
 259        2 1953106944 nvme0n1p2
   7        8     233012 loop8
   7       11      16896 loop11
   7        9      19276 loop9
   7       12      20120 loop12
   7       10      50444 loop10
